Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS150-5C
Serial Number          ,       M00278808

Date MM-DD-YYYY        ,       03-12-2025
Time HH:MM:SS          ,       16:00:40


*** CAMERA ***
Camera Type            ,       Thorlabs DCU224M
Camera SN              ,       4102610379
Resolution X           ,       1280
Resolution Y           ,       1024
Exposure Time [ms]     ,       2.739
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.015
Beam Center Y [mm]     ,      -0.018
Beam Diameter X [mm]   ,       6.831
Beam Diameter Y [mm]   ,       5.403


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       1
Use Beam Dia           ,       1
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       6.159
Pupil Diameter Y [mm]  ,       6.159
Pupil Center X [mm]    ,      -0.015
Pupil Center Y [mm]    ,      -0.018


*** ZERNIKE FIT ***
Zernike Orders Auto    ,       0
Zernike Orders         ,       10
Zernike Modes          ,       66
Unit                   ,       waves
Index  Order  Frequency  Coefficient
     1.800,       NaN,       NaN,   -15.538,   -14.258,   -13.046,   -11.915,   -10.872,    -9.921,    -9.061,    -8.290,    -7.604,    -7.001,    -6.478,    -6.034,    -5.669,    -5.384,    -5.178,    -5.053,    -5.009,    -5.046,    -5.163,    -5.359,    -5.634,    -5.986,    -6.415,    -6.920,    -7.503,    -8.165,    -8.907,    -9.731,   -10.639,   -11.630,   -12.703,   -13.856,   -15.090,       NaN,       NaN,
     1.650,       NaN,   -16.081,   -14.729,   -13.437,   -12.218,   -11.083,   -10.038,    -9.083,    -8.220,    -7.444,    -6.754,    -6.146,    -5.620,    -5.173,    -4.805,    -4.518,    -4.311,    -4.186,    -4.141,    -4.178,    -4.295,    -4.492,    -4.766,    -5.118,    -5.546,    -6.051,    -6.632,    -7.292,    -8.032,    -8.855,    -9.760,   -10.749,   -11.820,   -12.971,   -14.203,   -15.521,       NaN,
     1.500,       NaN,   -15.334,   -13.970,   -12.674,   -11.454,   -10.320,    -9.275,    -8.320,    -7.454,    -6.676,    -5.983,    -5.373,    -4.843,    -4.394,    -4.025,    -3.736,    -3.528,    -3.402,    -3.357,    -3.394,    -3.510,    -3.706,    -3.980,    -4.331,    -4.758,    -5.262,    -5.842,    -6.501,    -7.240,    -8.061,    -8.965,    -9.952,   -11.021,   -12.171,   -13.399,   -14.713,       NaN,
     1.350,   -16.072,   -14.639,   -13.272,   -11.977,   -10.761,    -9.630,    -8.587,    -7.633,    -6.767,    -5.988,    -5.293,    -4.681,    -4.150,    -3.699,    -3.329,    -3.039,    -2.831,    -2.704,    -2.659,    -2.695,    -2.811,    -3.006,    -3.279,    -3.628,    -4.054,    -4.556,    -5.135,    -5.793,    -6.531,    -7.351,    -8.255,    -9.241,   -10.309,   -11.456,   -12.681,   -13.991,   -15.401,
     1.200,   -15.449,   -14.011,   -12.647,   -11.357,   -10.146,    -9.019,    -7.979,    -7.027,    -6.161,    -5.382,    -4.686,    -4.073,    -3.541,    -3.089,    -2.718,    -2.428,    -2.219,    -2.092,    -2.046,    -2.081,    -2.196,    -2.390,    -2.662,    -3.010,    -3.434,    -3.934,    -4.512,    -5.169,    -5.906,    -6.726,    -7.629,    -8.615,    -9.682,   -10.827,   -12.050,   -13.354,   -14.756,
     1.050,   -14.900,   -13.463,   -12.103,   -10.819,    -9.614,    -8.492,    -7.454,    -6.503,    -5.638,    -4.858,    -4.161,    -3.547,    -3.014,    -2.562,    -2.191,    -1.900,    -1.691,    -1.563,    -1.517,    -1.551,    -1.665,    -1.857,    -2.127,    -2.473,    -2.896,    -3.395,    -3.971,    -4.627,    -5.364,    -6.184,    -7.087,    -8.073,    -9.140,   -10.285,   -11.505,   -12.805,   -14.200,
     0.900,   -14.436,   -13.001,   -11.647,   -10.368,    -9.167,    -8.048,    -7.012,    -6.061,    -5.196,    -4.415,    -3.717,    -3.102,    -2.569,    -2.116,    -1.744,    -1.453,    -1.244,    -1.115,    -1.068,    -1.101,    -1.213,    -1.404,    -1.672,    -2.016,    -2.437,    -2.935,    -3.511,    -4.166,    -4.903,    -5.723,    -6.628,    -7.615,    -8.682,    -9.827,   -11.046,   -12.343,   -13.733,
     0.750,   -14.061,   -12.628,   -11.277,   -10.003,    -8.805,    -7.687,    -6.651,    -5.700,    -4.834,    -4.052,    -3.353,    -2.737,    -2.202,    -1.748,    -1.376,    -1.084,    -0.874,    -0.745,    -0.696,    -0.728,    -0.839,    -1.028,    -1.295,    -1.638,    -2.057,    -2.554,    -3.129,    -3.785,    -4.522,    -5.344,    -6.249,    -7.238,    -8.307,    -9.453,   -10.673,   -11.969,   -13.355,
     0.600,   -13.773,   -12.342,   -10.994,    -9.722,    -8.526,    -7.408,    -6.371,    -5.419,    -4.551,    -3.767,    -3.066,    -2.449,    -1.913,    -1.458,    -1.085,    -0.792,    -0.581,    -0.451,    -0.401,    -0.432,    -0.541,    -0.729,    -0.994,    -1.336,    -1.755,    -2.251,    -2.826,    -3.482,    -4.221,    -5.044,    -5.952,    -6.943,    -8.015,    -9.163,   -10.384,   -11.681,   -13.066,
     0.450,   -13.570,   -12.140,   -10.794,    -9.523,    -8.326,    -7.208,    -6.170,    -5.216,    -4.345,    -3.559,    -2.857,    -2.238,    -1.701,    -1.245,    -0.871,    -0.577,    -0.365,    -0.234,    -0.183,    -0.212,    -0.320,    -0.507,    -0.771,    -1.112,    -1.530,    -2.027,    -2.602,    -3.259,    -3.999,    -4.824,    -5.734,    -6.728,    -7.802,    -8.953,   -10.177,   -11.475,   -12.862,
